id,Tweet,time,Opinion
119,"@orfonline: Ten Indian states that have done the highest COVID19 testing.

CoronaTracker DailyUpdates IndiaFightsCoronavirus 

Visit…",Mon Jul 13 12:28:52 +0000 2020,Neutral
120,"@orfonline: Confirmed COVID19 cases in the Indian subcontinent.

DailyUpdates

For more compelling facts, figures and perspectives fro…",Mon Jul 13 12:28:48 +0000 2020,Positive
121,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 12:28:44 +0000 2020,Neutral
122,"@orfonline: Ten Indian states that have done the highest COVID19 testing.

CoronaTracker DailyUpdates IndiaFightsCoronavirus 

Visit…",Mon Jul 13 12:10:41 +0000 2020,Neutral
123,"@orfonline: DailyUpdate

➪ Number of Daily Cases and Deaths in India (Seven day average)

Visit ORF's COVIDTracker: ",Mon Jul 13 12:02:09 +0000 2020,Neutral
124,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 11:53:47 +0000 2020,Neutral
125,"DailyUpdate

➪ Number of Daily Cases and Deaths in India (Seven day average)

Visit ORF's COVIDTracker:… ",Mon Jul 13 11:40:55 +0000 2020,Neutral
126,"@orfonline: Confirmed COVID19 cases of top 10 African countries.

DailyUpdates

For more facts, figures and perspectives from ORF's C…",Mon Jul 13 11:39:32 +0000 2020,Positive
127,"DailyUpdate

➪ Trend of India COVID19 deaths since the 1000th death

➪ Total number of cases in the Indian region… ",Mon Jul 13 11:39:10 +0000 2020,Neutral
128,"DailyUpdate
➪ COVID testing: Positivity rate of infections

➪ COVID death rate: Ratio of Total Deaths to Overall C… ",Mon Jul 13 11:36:24 +0000 2020,Neutral
129,"@orfonline: The 10 countries that have recorded highest COVID19 cases in the world. 

Brazil, with 1,866,176 cases, remains the second…",Mon Jul 13 11:25:04 +0000 2020,Neutral
130,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 11:25:00 +0000 2020,Neutral
131,"@orfonline: The 10 countries that have recorded highest COVID19 cases in the world. 

Brazil, with 1,866,176 cases, remains the second…",Mon Jul 13 11:20:38 +0000 2020,Neutral
132,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 11:20:35 +0000 2020,Neutral
133,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 11:19:51 +0000 2020,Neutral
134,"Tracking five Indian states that have the most COVID19 infections.

CoronaTracker DailyUpdates… ",Mon Jul 13 11:19:06 +0000 2020,Positive
135,"The 10 countries that have recorded highest COVID19 cases in the world. 

Brazil, with 1,866,176 cases, remains th… ",Mon Jul 13 11:18:37 +0000 2020,Neutral
136,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 11:17:51 +0000 2020,Neutral
137,"Confirmed COVID19 cases of top 10 African countries.

DailyUpdates

For more facts, figures and perspectives from… ",Mon Jul 13 11:17:20 +0000 2020,Positive
138,"DailyUpdates 

COVID19 cases in Africa  

Region wise confirmed COVID19 cases in Africa are:

▶ NorthAfrica 12… ",Mon Jul 13 11:16:52 +0000 2020,Positive
139,"@orfonline: Confirmed COVID19 cases in the Indian subcontinent.

DailyUpdates

For more compelling facts, figures and perspectives fro…",Mon Jul 13 11:16:10 +0000 2020,Positive
140,"Ten Indian states that have done the highest COVID19 testing.

CoronaTracker DailyUpdates… ",Mon Jul 13 11:15:15 +0000 2020,Neutral
141,"Confirmed COVID19 cases in the Indian subcontinent.

DailyUpdates

For more compelling facts, figures and perspec… ",Mon Jul 13 11:13:59 +0000 2020,Positive
142,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 10:22:00 +0000 2020,Neutral
143,Just checked-in on my CovidTracker app. All good for me. Have you checked-in yet? ,Mon Jul 13 10:03:43 +0000 2020,Positive
144,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 09:58:03 +0000 2020,Neutral
145,Sewer systems provide clues to the virus that causes covıd19. Scientists from @RAINincubator out of Tacoma WA ar… ,Mon Jul 13 09:56:17 +0000 2020,Neutral
146,@twisteddoodles: Why the COVID tracker app is pretty snazzy CovidTracker ,Mon Jul 13 09:55:29 +0000 2020,Positive
147,Friendly neighborhood reminder that if you haven’t already you should download CovidTracker  ,Mon Jul 13 08:30:07 +0000 2020,Positive
148,COVID19 Covid_19 covid slnventures covidtracker ,Mon Jul 13 07:49:51 +0000 2020,Neutral
149,"@ronan_glynn: CovidTracker app will help us reach more people, more quickly, with the right advice. It is another tool we have to conti…",Mon Jul 13 07:20:20 +0000 2020,Positive
150,"CoronavirusUpdate: India tally at over 8.78 lakh, active cases cross 3-lakh mark, Bengal records its single-bigges… ",Mon Jul 13 07:14:09 +0000 2020,Neutral
151,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 06:35:20 +0000 2020,Neutral
152,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 06:25:52 +0000 2020,Neutral
153,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 06:23:45 +0000 2020,Neutral
154,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 06:20:34 +0000 2020,Neutral
155,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 06:18:22 +0000 2020,Neutral
156,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 06:01:45 +0000 2020,Neutral
157,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 05:35:19 +0000 2020,Neutral
158,"DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distributio… ",Mon Jul 13 05:31:52 +0000 2020,Neutral
159,@twisteddoodles: Why the COVID tracker app is pretty snazzy CovidTracker ,Mon Jul 13 05:27:43 +0000 2020,Positive
160,"@psychpolis: For all the people saying no thanks to CovidTracker that they value their privacy too much, everyone else values their liv…",Mon Jul 13 00:40:31 +0000 2020,Neutral
161,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Mon Jul 13 00:13:20 +0000 2020,Positive
162,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Sun Jul 12 22:46:20 +0000 2020,Positive
163,@rodericogorman: The @HSELive CovidTracker app is live from today. Download it to help keep us all more safe. dubw ,Sun Jul 12 21:57:02 +0000 2020,Positive
164,"Remember, everything you’ve seen in media is PredictiveProgramming. CovidTracker testing ",Sun Jul 12 21:20:53 +0000 2020,Neutral
